menu.play:						Play
menu.profile:					Profile
menu.settings:					Settings
menu.editor:					Editor
menu.quit:						Quit
menu.back:						Back
menu.main:						Glowing Octo Doodle
menu.delete:					Delete
menu.profile.color:				Color
menu.profile.red:				Red
menu.profile.green:				Green
menu.profile.blue:				Blue
menu.profile.playername:		Playername
menu.settings.fullscreen:		Fullscreen
menu.settings.volume_music:		Music Volume
menu.settings.volume_sfx:		Effect Volume
menu.settings.anti-aliasing:	Anti-Aliasing
menu.settings.vsync:			Enable V-Sync
menu.settings.inner_deadzone:	Inner deadzone: [1]%
menu.settings.outer_deadzone:	Outer deadzone: [1]%
menu.settings.audio:			Audio
menu.settings.gamepad:			GamePad
menu.settings.walk_up:			Walk Up
menu.settings.walk_right:		Walk Right
menu.settings.walk_down:		Walk Down
menu.settings.walk_left:		Walk Left
menu.settings.interact:			Use / Pickup
menu.settings.pickup:			Pick Up
menu.settings.putdown:			Put Down
menu.settings.bindings:			Bindings
menu.play.new:					New Game
menu.play.load:					Load a saved game
menu.play.join:					Join a game
menu.play.play_pack:			Play Pack
menu.play.continue:				Continue
menu.play.savegame:				[1] Level: [2]
menu.play.new_note:				Warning: Starting a new pack will overwrite the progress you have already made on that pack!
menu.editor.new_map:			New Map
menu.editor.new_pack:			New Pack
menu.editor.edit_map:			Edit Map
menu.editor.edit_pack:			Edit Pack
menu.editor.maps:				Maps
menu.editor.packs:				Packs
menu.end_pack:					Exit this pack
menu.disconnect:				Disconnect

lobby.empty:					-Empty-
lobby.players:					Players [1]/[2]
lobby.waiting_for_players:		Waiting for other players...

editor.exit:					Exit the editor
editor.save:					Save
editor.open:					Open
editor.objects:					Objects
editor.tiles:					Tiles
editor.floor:					Floor
editor.floors:					Floors
editor.map:						Map
editor.map.name:				Map name:
editor.map.width:				Map Width: [1]
editor.map.height:				Map Height: [1]
editor.map.players:				Playernumber: [1]
editor.error.noname:			You need to give this level a name to save it!
editor.test:					Test
editor.testmode:				Testmode! Testing: [1]
editor.testmode.current_player:	Current Player: [1]/[2]. Press [3] to switch!
editor.testmode.back:			Back to editor!
editor.selected_entity:			Selected Object ([1])
editor.entity.type:				Type: [1]
editor.entity.destroy:			Destroy
editor.attributes:				Attributes
editor.logic:					Logic
editor.io:						IO
editor.link:					[1] -> [2] [3]
editor.packname:				Packname
editor.description:				Description
editor.add_map:					Add Map
editor.choose_map:				Choose a map to add!
editor.cancel:					Cancel
editor.up:						Up
editor.down:					Down
editor.remove:					Remove
editor.brush_size:				Brush Size: [1]
editor.choose_tile:				Choose Tile
editor.saving:					Saving...
editor.saved:					Saved!
editor.save_failed:				Save failed!

editor.group.logic:				Logic
editor.group.general:			General
editor.group.rails:				Rails
editor.group.story:				Story
editor.group.laser:				Laser

editor.attribute.player_index:	Player ID
editor.attribute.skin:			Skin
editor.attribute.size:			Size
editor.attribute.width:			Width
editor.attribute.height:		Height
editor.attribute.orientation:	Vertical
editor.attribute.map_index:		Map Index
editor.attribute.auto_test:		Auto Test
editor.attribute.relative:		Relative
editor.attribute.top:			Top
editor.attribute.left:			Left
editor.attribute.collision:		Collisions
editor.attribute.time:			Time
editor.attribute.start_active:	Start Active
editor.attribute.speed:			Speed (px/s)
editor.attribute.milliseconds:	Milliseconds
editor.attribute.text:			Text
editor.attribute.title:			Title
editor.attribute.hue:			Hue

editor.action.open:				Open
editor.action.close:			Close
editor.action.setA:				Set A
editor.action.setB:				Set B
editor.action.unsetA:			Unset A
editor.action.unsetB:			Unset B
editor.action.test:				Test
editor.action.trigger:			Trigger
editor.action.goRight:			Go Right
editor.action.goLeft:			Go Left
editor.action.goUp:				Go Up
editor.action.goDown:			Go Down
editor.action.stop:				Stop
editor.action.reverse:			Reverse
editor.action.start:			Start
editor.action.pause:			Pause
editor.action.reset:			Reset
editor.action.unpause:			Unpause
editor.action.show:				Show
editor.action.reset:			Reset
editor.action.state1:			State 1
editor.action.state2:			State 2
editor.action.activate:			Activate
editor.action.deactivate:		Deactivate

editor.event.onPress:			OnPress
editor.event.onRelease:			OnRelease
editor.event.onSpawn:			OnSpawn
editor.event.onTrue:			OnTrue
editor.event.onFalse:			OnFalse
editor.event.onTrigger:			OnTrigger
editor.event.onEndOfRail:		OnEndOfRail
editor.event.onDelay:			OnDelay
editor.event.onDetect:			OnDetect
editor.event.onUndetect:		OnUndetect
editor.event.onNext:			OnFinish
editor.event.onStartTouch:		OnStartTouch
editor.event.onEndTouch:		OnEndTouch
editor.event.onFirst:			OnFirst
editor.event.onNotFirst:		OnNotFirst
editor.event.onState1:			OnState1
editor.event.onState2:			OnState2
editor.event.onPowered:			OnPowered
editor.event.onUnpowered:		OnUnpowered

editor.tileset.enviroment:		Enviroment
editor.tileset.mark:			Mark

editor.floor.grass:				Grass
editor.floor.concrete:			Concrete
editor.floor.darkness:			Darkness
editor.floor.spaceship:			Spaceship

gp.floor_button:				Floor Button
gp.spawn:						Spawnpoint
gp.wall:						Wall
gp.light_gate:					Light Wall
gp.a3:							a³
gp.goalzone:					Goalzone
gp.logic_or:					Logic OR
gp.logic_and:					Logic AND
gp.logic_relay:					Logic Relay
gp.tile:						Tile
gp.button:						Button
gp.rail:						Rail
gp.cart:						Cart
gp.logic_delay:					Logic Delay
gp.carry_blocker:				Carry Blocker
gp.rail_detector:				Detector Rail
gp.story_message:				Message Box
gp.trigger_zone:				Trigger Zone
gp.logic_memory:				Logic Memory
gp.lever:						Lever
gp.laser_emitter:				Laser Emitter
gp.laser_redirector:			Laser Redirector
gp.laser_catcher:				Laser Catcher

key.add:						Add
key.alt:						Alt
key.anykey:						Anykey
key.backspace:					Backspace
key.control:					Control
key.decimal:					Decimal
key.delete:						Delete
key.divide:						Divide
key.down:						Down
key.end:						End
key.enter:						Enter
key.escape:						Escape
key.f1:							F1
key.f2:							F2
key.f3:							F3
key.f4:							F4
key.f5:							F5
key.f6:							F6
key.f7:							F7
key.f8:							F8
key.f9:							F9
key.f10:						F10
key.f11:						F11
key.f12:						F12
key.home:						Home
key.insert:						Insert
key.lalt:						Left Alt
key.lcontrol:					Left Control
key.left:						Left
key.lshift:						Left Shift
key.multiply:					Multiply
key.nokey:						No Key
key.numpad0:					Numpad 0
key.numpad1:					Numpad 1
key.numpad2:					Numpad 2
key.numpad3:					Numpad 3
key,numpad4:					Numpad 4
key.numpad5:					Numpad 5
key.numpad6:					Numpad 6
key.numpad7:					Numpad 7
key.numpad8:					Numpad 8
key.numpad9:					Numpad 9
key.pagedown:					Page Down
key.pageup:						Page Up
key.pause:						Pause
key.printscreen:				Print
key.ralt:						Right Alt
key.rcontrol:					Right Control
key.return:						Return
key.right:						Righ
key.rshift:						Right Shift
key.shift:						Shift
ley.space:						Space
key.subtract:					Subtract
key.tab:						Tab
key.up:							Up
key.start:						Start
key.caps:						Caps
key.numlock:					Numlock
key.mb_right:					Right Mousebutton
key.mb_left:					Left Mousebutton
key.mb_middle:					Middle Mousebutton

story.ss.mystery:				Mysterious voice
story.ss.chamber3:				Hello?
story.ss.chamber4_great:		Great!
story.ss.chamber7:				Seems like you are not as stupid as you look
story.ss.chamber7b:				You are a robot
story.ss.chamber7c:				You should know a bit on mathmatics
story.ss.chamber8:				Let's see... What is the strength of a by human created machine?
story.ss.chamber8b:				Oh yes, simple binary task that can only be solved in 10 ways!
story.ss.chamber13:				Humans are so stupid
story.ss.chamber14:				Let's put you in an enviroment you are more familiar with.
story.ss.chamber_e1:			The Earth
